City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Coquimbo,CL,2023-01-24 19:13:17,-29.9533,-71.3436,71.33,68,0,14.97
189,Kidal,ML,2023-01-24 19:15:57,18.4411,1.4078,81.93,11,0,5.66
190,Svetlyy,RU,2023-01-24 19:15:58,54.675,20.1347,32.05,82,39,6.76
191,Bathsheba,BB,2023-01-24 19:15:58,13.2167,-59.5167,83.01,61,20,25.32
192,Edirne,TR,2023-01-24 19:15:58,41.6772,26.556,34.81,72,91,6.71
193,Constitucion,CL,2023-01-24 19:15:59,-35.3333,-72.4167,68.68,62,8,19.73
194,Soyo,AO,2023-01-24 19:15:59,-6.1349,12.3689,80.11,79,99,7.23
195,Atasu,KZ,2023-01-24 19:15:59,48.6814,71.6433,-11.52,99,37,3.85
196,Sitia,GR,2023-01-24 19:16:00,35.2,26.0986,58.98,76,0,3.44
197,Kilindoni,TZ,2023-01-24 19:16:00,-7.9139,39.6668,81.14,81,100,14.43
198,Havelock,US,2023-01-24 19:16:00,34.8791,-76.9013,55.35,51,0,8.05
199,Luena,AO,2023-01-24 19:16:01,-11.7833,19.9167,65.1,83,100,4.21
200,Oranjestad,AW,2023-01-24 19:16:01,12.524,-70.027,84.15,65,20,21.85
201,Kilakarai,IN,2023-01-24 19:16:02,9.2333,78.7833,76.05,73,100,14.0
202,Erzurum,TR,2023-01-24 19:16:02,40.0,41.5,22.68,50,7,3.91
203,Ondjiva,AO,2023-01-24 19:16:03,-17.0667,15.7333,75.0,61,99,7.18
204,Asilah,MA,2023-01-24 19:16:03,35.465,-6.0348,49.96,75,1,16.53
205,Antofagasta,CL,2023-01-24 19:13:45,-23.65,-70.4,74.48,70,21,10.31
206,Ostrovnoy,RU,2023-01-24 19:16:03,68.0531,39.5131,25.18,77,5,27.69
207,Hlotse,LS,2023-01-24 19:16:04,-28.8718,28.045,70.41,35,21,4.68
208,Fraserburgh,GB,2023-01-24 19:16:04,57.6874,-2.0184,52.43,86,69,10.54
209,Syamzha,RU,2023-01-24 19:16:04,60.0158,41.0614,21.04,93,100,8.28
210,Touros,BR,2023-01-24 19:16:05,-5.1989,-35.4608,81.73,69,71,14.65
211,Virginia Beach,US,2023-01-24 19:16:01,36.8529,-75.978,55.04,43,40,5.75
212,Goslar,DE,2023-01-24 19:16:05,51.9043,10.4277,32.61,92,24,3.24
213,Ahtopol,BG,2023-01-24 19:16:06,42.1,27.95,42.01,74,100,12.8
214,Xai-Xai,MZ,2023-01-24 19:16:06,-25.0519,33.6442,79.56,77,100,11.5
215,Tahoua,NE,2023-01-24 19:16:06,14.8888,5.2692,81.93,11,0,9.35
216,Robe,AU,2023-01-24 19:16:07,-37.1833,139.75,55.96,88,10,4.43
217,Narsaq,GL,2023-01-24 19:16:07,60.9167,-46.05,23.22,93,99,7.96
218,Taltal,CL,2023-01-24 19:16:08,-25.4,-70.4833,73.96,70,22,9.01
219,Eenhana,NA,2023-01-24 19:12:49,-17.4667,16.3333,73.0,65,26,3.69
220,Kahama,TZ,2023-01-24 19:16:08,-3.8333,32.6,64.6,91,100,3.56
221,Capreol,CA,2023-01-24 19:16:08,46.706,-80.9225,14.94,82,100,6.08
222,Juazeiro,BR,2023-01-24 19:14:38,-9.4117,-40.4986,91.58,49,40,6.91
223,Sosnovka,RU,2023-01-24 19:17:09,56.255,51.2842,0.77,98,40,4.07
224,Savannah Bight,HN,2023-01-24 19:17:09,16.45,-85.85,78.53,79,16,17.83
225,Pita,GN,2023-01-24 19:17:10,10.8333,-12.5833,86.86,31,89,2.13
226,Torbay,CA,2023-01-24 19:15:12,47.6666,-52.7314,39.58,87,75,27.63
227,Bengkulu,ID,2023-01-24 19:17:10,-3.8004,102.2655,73.8,94,100,9.1
228,Kochi,IN,2023-01-24 19:17:11,9.9399,76.2602,76.01,88,100,2.3
229,Inhambane,MZ,2023-01-24 19:16:40,-23.865,35.3833,80.58,78,40,10.36
230,Viedma,AR,2023-01-24 19:17:11,-40.8135,-62.9967,71.01,28,1,16.15
231,Senneterre,CA,2023-01-24 19:17:12,48.3835,-77.2328,6.42,82,100,8.86
232,Longyearbyen,SJ,2023-01-24 19:17:12,78.2186,15.6401,30.04,74,40,14.97
233,Oistins,BB,2023-01-24 19:17:12,13.0667,-59.5333,82.49,61,20,25.32
234,Luanda,AO,2023-01-24 19:12:31,-8.8368,13.2343,82.4,78,40,6.91
235,Antigonish,CA,2023-01-24 19:17:13,45.6169,-61.9986,33.15,78,100,5.99
