City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Belyy Yar,RU,53.6039,91.3903,30.09,57,0,17.9,clear sky
155,Leh,IN,34.1667,77.5833,14.04,75,99,3.18,overcast clouds
156,Uglich,RU,57.5275,38.3317,3.76,100,47,4.07,scattered clouds
157,Barabinsk,RU,55.3571,78.357,13.66,94,100,15.12,light snow
158,Campo Verde,BR,-20.4167,-54.0667,82.58,65,59,8.84,broken clouds
159,Tatarsk,RU,55.219,75.9828,16.29,93,100,13.29,overcast clouds
160,Pombas,CV,17.1503,-25.0201,69.21,72,30,16.22,scattered clouds
161,Lagos,NG,6.5833,3.75,86.9,62,86,11.36,overcast clouds
162,The Valley,AI,18.217,-63.0578,78.94,65,40,11.5,scattered clouds
163,Balkanabat,TM,39.5108,54.3671,38.7,44,0,7.49,clear sky
164,Bad Goisern,AT,47.6425,13.6161,29.88,95,100,3.02,overcast clouds
165,Ostrovnoy,RU,68.0531,39.5131,28.27,87,100,27.36,overcast clouds
166,Westerland,DE,54.9079,8.3033,42.82,93,100,13.8,mist
167,Timra,SE,62.487,17.3257,20.88,86,14,2.3,few clouds
168,Behbahan,IR,30.5959,50.2417,53.69,51,1,6.78,clear sky
169,Palasa,IN,18.7667,84.4167,70.61,82,0,2.77,clear sky
170,Teguise,ES,29.0605,-13.564,62.82,52,75,18.41,light rain
171,Madimba,TZ,-10.4,40.3333,79.43,78,20,10.42,few clouds
172,Tazovskiy,RU,67.4667,78.7,2.95,97,100,2.35,overcast clouds
173,Walvis Bay,NA,-22.9575,14.5053,67.08,74,31,11.88,scattered clouds
174,Carndonagh,IE,55.25,-7.2667,46.26,77,100,6.08,overcast clouds
175,Muisne,EC,0.6,-80.0333,79.83,80,99,8.12,light rain
176,Asfi,MA,32.2994,-9.2372,58.75,50,74,13.98,broken clouds
177,Lahij,YE,13.1667,44.5833,71.17,79,90,9.22,overcast clouds
178,Maxixe,MZ,-23.8597,35.3472,82.47,68,9,14.63,clear sky
179,Polkowice,PL,51.5039,16.0726,24.76,87,39,3.74,scattered clouds
180,Rio Grande,BR,-32.035,-52.0986,84.52,63,73,8.93,light rain
181,Grand Gaube,MU,-20.0064,57.6608,79.38,82,79,7.74,light rain
182,Struer,DK,56.4912,8.5838,42.06,80,100,13.22,overcast clouds
183,Mao,ES,39.8885,4.2658,46.96,71,40,20.71,scattered clouds
184,Gualaquiza,EC,-3.4,-78.55,78.75,49,99,1.99,overcast clouds
185,Lucapa,AO,-8.4192,20.7447,72.23,83,100,2.55,overcast clouds
186,Codrington,AU,-38.2667,141.9667,59.85,95,100,3.58,light rain
187,Svetlyy,RU,54.675,20.1347,32.05,78,98,6.71,overcast clouds
188,Joaima,BR,-16.6542,-41.0306,85.73,59,94,1.95,overcast clouds
189,Bonthe,SL,7.5264,-12.505,85.62,64,61,12.08,broken clouds
190,Umm Bab,QA,25.2142,50.8072,61.93,55,0,14.76,clear sky
191,Ati,TD,13.2154,18.3353,94.28,8,68,7.05,broken clouds
192,Takoradi,GH,4.8845,-1.7554,84.13,71,98,14.54,overcast clouds
193,Khor,RU,47.8861,134.9464,-36.49,100,28,2.51,scattered clouds
194,Kudahuvadhoo,MV,2.6708,72.8944,81.03,73,93,11.99,overcast clouds
195,Ponferrada,ES,42.5466,-6.5962,48.22,46,48,1.99,scattered clouds
196,Namibe,AO,-15.1961,12.1522,78.08,75,99,11.01,overcast clouds
