City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Valdivia,CL,77.09,clear sky,-39.8142,-73.2459,Esmeralda
270,Vieques,PR,82.42,scattered clouds,18.425,-65.8329,Hyatt Regency Grand Reserve Puerto Rico
272,Saint-Georges,GD,77.94,light rain,12.0564,-61.7485,Deyna's City Inn
278,Matara,LK,74.44,overcast clouds,5.9485,80.5353,Villa Palm Breeze
279,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Horisun
282,Chuy,UY,81.18,overcast clouds,-33.6971,-53.4616,Alerces
296,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,Hotel Forum
300,Mindelo,CV,70.65,scattered clouds,16.8901,-24.9804,Solar Windelo
302,Mitsamiouli,KM,81.27,clear sky,-11.3847,43.2844,Hotel le Paradis
303,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Residencial Jardins De Maio
307,Cockburn Town,TC,76.64,overcast clouds,21.4612,-71.1419,The Salt Raker Inn
310,Senador Guiomard,BR,82.15,overcast clouds,-10.1522,-67.7392,Paraíso
315,Pedernales,DO,80.28,scattered clouds,18.0384,-71.744,Hostal Doña Chava
318,Bulawayo,ZW,84.25,few clouds,-20.15,28.5833,Selboune Hotel
324,Lubao,PH,75.27,broken clouds,14.9167,120.55,Hacienda de Gracia Resort
326,Puerto Baquerizo Moreno,EC,81.59,scattered clouds,-0.9,-89.6,Dory's House
329,Quelimane,MZ,80.62,broken clouds,-17.8786,36.8883,Mabassa
332,Villamontes,BO,85.59,overcast clouds,-21.25,-63.5,Hoterma
335,Rawson,AR,78.98,clear sky,-43.3002,-65.1023,Hotel Deportivo
340,Bubaque,GW,77.9,broken clouds,11.2833,-15.8333,Chez Julio
341,Kralendijk,BQ,78.78,broken clouds,12.15,-68.2667,Hotel Bonaire Inn
343,Anloga,GH,83.19,overcast clouds,5.7947,0.8973,Hotel de White House
348,Lucea,JM,83.86,broken clouds,18.451,-78.1736,Blue Paloma Bed And Breakfast
350,Anori,BR,82.17,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
351,Jijiga,ET,70.63,scattered clouds,9.35,42.8,Africa Hotel
360,Omboue,GA,83.1,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
362,San Ignacio,BZ,77.29,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
366,Bosaso,SO,76.44,few clouds,11.2842,49.1816,Bosaso hotel
368,Praia,CV,77.54,clear sky,14.9215,-23.5087,Casa Sodadi
369,Berbera,SO,77.56,few clouds,10.4396,45.0143,Al Madina Hotel
370,Maicao,CO,83.21,few clouds,11.3832,-72.2432,Hotel Las Dunas
373,Axim,GH,84.04,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
376,Marsh Harbour,BS,71.08,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
387,Port Maria,JM,89.56,overcast clouds,18.3685,-76.8895,Casa Maria Hotel
393,Le Vauclin,MQ,82.45,clear sky,14.5452,-60.8388,Hôtel Macabou
397,Puerto Carreno,CO,89.67,few clouds,6.189,-67.4859,Carreño Plaza
403,Ilebo,CD,84.76,broken clouds,-4.3167,20.5833,Hôtel des Palmes
406,Aden,YE,76.86,clear sky,12.7794,45.0367,فندق قصر الجزيرة
412,Meulaboh,ID,75.72,overcast clouds,4.1363,96.1285,Hotel Meuligou
419,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Terra Sur
422,Santiago Del Estero,AR,78.01,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
430,Ambilobe,MG,77.22,broken clouds,-13.2,49.05,Hôtel National
433,Bani,DO,76.86,few clouds,18.2833,-70.3333,HOTEL GLAMOURS
434,Moa,CU,79.16,broken clouds,20.6569,-74.9403,Hotel Miraflores
435,Bodden Town,KY,84.2,broken clouds,19.2833,-81.25,Turtle Nest Inn
438,Diamantino,BR,71.89,overcast clouds,-14.4086,-56.4461,Hotel kayaby
441,Binga,ZW,76.78,broken clouds,-17.6203,27.3414,Lake View Inn
442,Dilla,ET,73.83,broken clouds,6.41,38.31,ሀ ሁ
456,Ambovombe,MG,84.04,overcast clouds,-25.1667,46.0833,La source
458,Nyimba,ZM,73.26,light rain,-14.5566,30.8149,Dalitso Guesthouse
462,Bhongir,IN,76.3,clear sky,17.5108,78.8889,Hotel Vivera
463,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Tropic Hotel
465,Natal,BR,88.45,few clouds,-5.795,-35.2094,Natal Palace Hotel
468,Diego De Almagro,CL,82.33,clear sky,-26.3667,-70.05,Residencial Hambyll
469,Cayenne,GF,78.84,mist,4.9333,-52.3333,Central Hôtel
471,Rio Gallegos,AR,72.01,few clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
474,San Ramon De La Nueva Oran,AR,75.47,moderate rain,-23.1322,-64.326,Alto Verde
481,Salinopolis,BR,81.9,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
483,Hualmay,PE,75.83,scattered clouds,-11.0964,-77.6139,Hotel Mi Choacan
486,Touros,BR,86.85,few clouds,-5.1989,-35.4608,Pousada Atlântico
495,Mahajanga,MG,80.53,broken clouds,-15.7167,46.3167,Vahiny Hotel
501,Illapel,CL,83.52,clear sky,-31.6308,-71.1653,Domingo Ortiz de Rosas
503,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
506,La Macarena,CO,89.89,clear sky,2.1837,-73.7849,Muñoz
508,Ballina,AU,74.01,few clouds,-28.8667,153.5667,Ballina Beach Resort
513,Galle,LK,75.29,overcast clouds,6.0367,80.217,Jungle Hostel Villa
515,Lyantonde,UG,75.99,scattered clouds,-0.4031,31.1572,Courtyard Hotel
520,Paita,PE,76.24,overcast clouds,-5.0892,-81.1144,Victor's
521,Limbe,CM,81.91,broken clouds,4.0242,9.2149,WILLY MERCY HOTEL
526,Inirida,CO,89.83,few clouds,3.8653,-67.9239,Residencias El Turista del Guainia
530,Bocas Del Toro,PA,75.76,light rain,9.3333,-82.25,B&B Surfari
533,Itaituba,BR,75.76,overcast clouds,-4.2761,-55.9836,TG Hotel
537,Pocone,BR,81.45,overcast clouds,-16.2567,-56.6228,Andirah
538,Rosario,AR,87.82,scattered clouds,-32.9468,-60.6393,Fontana Suites
539,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
543,San Andres,CO,86.02,light rain,12.5847,-81.7006,Hotel Decameron Isleño
544,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Bellamar
547,Ciudad Bolivar,VE,86.83,few clouds,8.1222,-63.5497,Paoca
549,Saurimo,AO,70.09,light rain,-9.6608,20.3916,Complexo Hoteleiro de Saurimo
550,Mabaruma,GY,83.55,few clouds,8.2,-59.7833,Monty Brooms Hotel
551,Sao Jose Da Coroa Grande,BR,84.97,broken clouds,-8.8978,-35.1478,Hotel do Sol
552,Novo Aripuana,BR,86.36,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
554,Male,MV,80.74,overcast clouds,4.1748,73.5089,Champa Central Hotel
569,Mana,GF,78.96,light rain,5.6592,-53.7767,Le Samana
576,Sambava,MG,78.89,light rain,-14.2667,50.1667,Royal Sava Hôtel
583,Morant Bay,JM,89.22,overcast clouds,17.8815,-76.4093,Morant Villas
585,Huarmey,PE,75.25,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
587,Puerto Madryn,AR,80.94,clear sky,-42.7692,-65.0385,Hotel Gran Palace
598,Booue,GA,81.55,light rain,-0.0921,11.9385,La splendeur de l'équateur
599,Saint-Paul,RE,80.71,overcast clouds,-21.0096,55.2707,Hôtel d'application
600,Necochea,AR,80.67,few clouds,-38.5473,-58.7368,Cabañas Río Quequén
603,Talara,PE,88.56,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
